NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
13074,COSMOS 1275 DEB,925.8,973,-81.22937447,-154.480027,1 13074U 81053FA  25330.53666009  .00000635  00000-0  55465-3 0  9992,2 13074  82.9451 331.4999 0032213  99.2770  22.7444 13.84099552228471,COSMOS 1275 DEB,COSMOS,82.9
13076,COSMOS 1338 DEB,184.3,193.6,,,1 13076U 82011  C 82080.22350372  .24455045 +79358-5 +48435-2 0  9993,2 13076 072.8118 238.6781 0007047 302.5900 057.5727 16.31336141005151,COSMOS 1338 DEB,COSMOS,72.8
13077,COSMOS 1338 DEB,177.3,181.7,,,1 13077U 82011  D 82269.79630655  .03876409 +81972-5 +54333-3 0  9998,2 13077 072.8251 131.6062 0003390 262.2459 098.1511 16.34865253035106,COSMOS 1338 DEB,COSMOS,72.8
13078,COSMOS 1338 DEB,199.4,213.7,,,1 13078U 82011  E 82096.35325710  .14544792 +78468-5 +51369-2 0  9992,2 13078 072.8204 198.8703 0010804 328.4415 034.6414 16.24796435007703,COSMOS 1338 DEB,COSMOS,72.8
13079,COSMOS 1338 DEB,349.7,405.4,,,1 13079U 82011  F 82063.01349646  .00642673 +00000-0 +66357-2 0  9991,2 13079 072.8490 281.1289 0041291 174.6246 185.5493 15.63503291002439,COSMOS 1338 DEB,COSMOS,72.8
13094,SL-12 PLAT,161.5,171.7,,,1 13094U 82020  C 82075.22523501  .05209577 +55820-4 +38717-3 0  9999,2 13094 051.6282 245.9630 0007774 291.8027 068.2547 16.39706380000203,SL-12 PLAT,SL-12,51.6
13095,SL-12 DEB,165.8,171.8,,,1 13095U 82020  D 82075.16428058  .04718858 +55505-4 +39190-3 0  9996,2 13095 051.6397 246.3367 0004556 273.1719 086.8317 16.38875349000166,SL-12 DEB,SL-12,51.6
13100,COSMOS 1342 DEB,188.4,244.9,,,1 13100U 82018  C 82079.57240226  .00342175 +77461-5 +13539-3 0  9994,2 13100 072.8491 291.4516 0042836 029.7911 000.7542 16.21058482002432,COSMOS 1342 DEB,COSMOS,72.8
13101,COSMOS 1342 DEB,219,254,,,1 13101U 82018  D 82078.69981840  .02955281 +20744-5 +22995-2 0  9998,2 13101 072.8538 293.7038 0026474 047.5425 312.8076 16.13780075002291,COSMOS 1342 DEB,COSMOS,72.9
13116,COSMOS 1343 DEB,180,190.1,,,1 13116U 82021  D 82091.00038671  .08561969 +87848-5 +14678-2 0  9992,2 13116 072.8290 299.6930 0007702 155.2848 208.0929 16.32795277002347,COSMOS 1343 DEB,COSMOS,72.8
13117,COSMOS 1343 DEB,175.7,193.4,,,1 13117U 82021  E 82090.94004641  .13033502 +84310-5 +21462-2 0  9998,2 13117 073.0036 299.8624 0013536 094.4835 268.4374 16.32973392002332,COSMOS 1343 DEB,COSMOS,73.0
13131,OPS 4682 DEB,"1,248.40","1,291.80",-48.41061083,96.90079627,1 13131U 65027H   25330.04370421  .00000621  00000-0  20954-2 0  9994,2 13131  90.2320 349.0499 0028407 243.3265 147.1467 12.97952418604357,OPS 4682 DEB,OPS,90.2
13132,N-1 DEB,969.5,"1,286.60",-69.00108823,47.45638105,1 13132U 78018C   25330.77087287 -.00000033  00000-0  30342-4 0  9996,2 13132  69.2076 222.0844 0211253 334.2552  84.8517 13.34974226326377,N-1 DEB,N-1,69.2
13140,COSMOS 1335 DEB,205.9,239.8,,,1 13140U 82007  D 82166.60808405  .29571456 +16816-5 +15980-1 0  9990,2 13140 074.0109 008.1772 0025628 281.7619 078.3767 16.18782823021034,COSMOS 1335 DEB,COSMOS,74.0
13141,COSMOS 1335 DEB,266.9,282.9,,,1 13141U 82007  E 82161.19524773  .06844496 +51706-6 +13442-1 0  9994,2 13141 074.0239 019.7833 0012015 224.4630 136.1721 15.99813151020206,COSMOS 1335 DEB,COSMOS,74.0
