,0,1
0,Asia,China: CNSA Jiuquan Taiyuan Wenchang Wenchang Commercial Xichang India: ISRO Satish Dhawan Thumba Indonesia: LAPAN Pameungpeuk Iran: ISA Semnan Israel: ISA Palmachim Japan: JAXA Tanegashima Uchinoura Kazakhstan / Russia: Roscosmos / VKS Baikonur VKS Sary Shagan North Korea: NADA Sohae South Korea: KARI Naro Pakistan: SUPARCO Sonmiani Tilla Russia: Roscosmos Vostochny VKS Dombarovsky / Yasny
1,Europe,Norway: NOSA Andøya SvalRak Russia: VKS Kapustin Yar Plesetsk Sweden: SSC Esrange Spain: INTA El Arenosillo
2,North America,United States government: USSF Cape Canaveral SFS / ER Vandenberg SFB / WR NASA Kennedy Wallops United States academic launches Poker Flat United States private launches Camden Corn Ranch Pacific MARS Mojave Spaceport America
3,Oceania,"Australia: RAAF Woomera New Zealand: Rocket Lab Mahia Peninsula Marshall Islands / United States: DoD Reagan Test Site, Kwajalein"
4,South America,Brazil: FAB / AEB Alcântara Barreira do Inferno Europe: ESA / France: CNES Guiana / Kourou
5,International waters,Russia: Sea Launch
