,0,1
0,General,Crewed spacecraft timeline by program Spaceflights 1961–1970 1971–1980 1981–1990 1991–2000 2001–2010 2011–2020 2021–present Soviet Russian Vostok and Voskhod Soyuz Mercury Gemini Apollo Skylab Shenzhou Gaganyaan Spacelab Artemis Civilian spaceflight Orbital Suborbital
1,Salyut,Expeditions Spaceflights crewed uncrewed Spacewalks Visitors
2,Mir,Expeditions ESA Spaceflights crewed uncrewed Spacewalks Visitors
3,ISS,Expeditions ESA Visiting Spaceflights crewed uncrewed Spacewalks Visitors Deployed
4,Tiangong,Expeditions Crewed Spaceflights Spacewalks
5,Shuttle,Crews Missions Rollbacks
6,People,Astronauts by name by year of selection Apollo Gemini Mercury Chinese Asian European Cosmonauts female Muslim Arab African American Ibero-America Space scientists Space travelers by name by first flight by nationality billionaires timeline by nationality Spaceflight-related human fatalities
7,EVA,1965–1999 2000–2014 2015–present Cumulative spacewalk records Longest spacewalks Spacewalkers
